year,disasters
1903,1
1904,0
1905,1
1906,0
1907,0
1908,1
1909,0
1910,1
1911,1
1912,1
1913,0
1914,0
1915,1
1916,0
1917,0
1918,1
1919,0
1920,0
1921,0
1922,1
1923,0
1924,0
1925,0
1926,0
1927,0
1928,1
1929,0
1930,0
1931,1
1932,0
1933,0
1934,0
1935,0
1936,1
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,1
1947,0
1948,0
1949,0
1950,2
1951,0
1952,0
1953,1
1954,1
1955,1
1956,0
1957,0
1958,0
1959,1
1960,0
1961,1
1962,1
1963,0
1964,0
1965,1
1966,1
1967,0
1968,0
1969,0
1970,1
1971,2
1972,0
1973,0
1974,1
1975,2
1976,0
1977,2
1978,0
1979,1
1980,1
1981,1
1982,1
1983,1
1984,1
1985,2
1986,4
1987,3
1988,2
1989,2
1990,1
1991,2
1992,3
1993,1
1994,3
1995,4
1996,2
1997,3
1998,3
1999,3
2000,1
2001,3
2002,3
2003,7
2004,4
2005,5
2006,5
2007,3
2008,2
2009,3
2010,0
2011,3
2012,3
2013,3
2014,2
2015,1
2016,2
2017,3
2018,4
2019,2
2020,2
2021,4
2022,6
