year,temp_c
1901,-5.04
1902,-5.38
1903,-5.46
1904,-5.79
1905,-4.97
1906,-5.04
1907,-6.05
1908,-5.23
1909,-5.88
1910,-5.08
1911,-5.68
1912,-5.4
1913,-5.43
1914,-5.38
1915,-4.43
1916,-5.92
1917,-6.3
1918,-5.64
1919,-5.5
1920,-5.37
1921,-5.02
1922,-5.69
1923,-5.32
1924,-5.31
1925,-5.36
1926,-5.11
1927,-5.59
1928,-4.63
1929,-5.63
1930,-4.6
1931,-3.82
1932,-5.38
1933,-6.16
1934,-5.17
1935,-5.66
1936,-5.93
1937,-4.82
1938,-4.19
1939,-4.92
1940,-4.36
1941,-4.43
1942,-4.45
1943,-4.69
1944,-3.97
1945,-5.12
1946,-5.07
1947,-4.63
1948,-5.06
1949,-5.04
1950,-6.09
1951,-5.58
1952,-4.16
1953,-4.07
1954,-4.81
1955,-5.14
1956,-5.64
1957,-5.06
1958,-4.27
1959,-5.26
1960,-4.49
1961,-5.05
1962,-4.93
1963,-4.67
1964,-5.52
1965,-5.57
1966,-5.26
1967,-5.3
1968,-4.84
1969,-4.63
1970,-5.13
1971,-4.98
1972,-6.81
1973,-4.25
1974,-5.6
1975,-5.05
1976,-4.84
1977,-3.96
1978,-5.38
1979,-5.02
1980,-4.5
1981,-2.98
1982,-5.93
1983,-4.8
1984,-4.71
1985,-4.88
1986,-4.75
1987,-3.33
1988,-4.15
1989,-5.1
1990,-4.97
1991,-4.43
1992,-4.96
1993,-4.58
1994,-4.39
1995,-4.38
1996,-5.23
1997,-4.27
1998,-2.82
1999,-3.31
2000,-4.24
2001,-3.34
2002,-4.46
2003,-3.96
2004,-4.9
2005,-3.37
2006,-2.72
2007,-4.16
2008,-4.48
2009,-4.35
2010,-2.45
2011,-3.83
2012,-3.49
2013,-4.34
2014,-4.39
2015,-3.88
2016,-3.19
2017,-3.76
2018,-4.62
2019,-4.33
2020,-4.25
2021,-3.7
2022,-4.22
